L:100, W:100, H:100, Volumen Total:1000000, Volumen Ocupado:1000000, Volumen Vacio:0, Estuches: 1, Peso Total:0.1kg, Volumen pale vacio: 0, Orientaciones:horizontal: 0, de lado: 1, Cajas por Palé:8
L:100, W:100, H:100, Volumen Total:1000000, Volumen Ocupado:1000000, Volumen Vacio:0, Estuches: 1, Peso Total:0.1kg, Volumen pale vacio: 0, Orientaciones:horizontal: 1, de lado: 0, Cajas por Palé:8
L:100, W:100, H:200, Volumen Total:2000000, Volumen Ocupado:2000000, Volumen Vacio:0, Estuches: 2, Peso Total:0.2kg, Volumen pale vacio: 0, Orientaciones:horizontal: 0, de lado: 2, Cajas por Palé:4
L:100, W:100, H:200, Volumen Total:2000000, Volumen Ocupado:2000000, Volumen Vacio:0, Estuches: 2, Peso Total:0.2kg, Volumen pale vacio: 0, Orientaciones:horizontal: 1, de lado: 1, Cajas por Palé:4
L:100, W:100, H:200, Volumen Total:2000000, Volumen Ocupado:2000000, Volumen Vacio:0, Estuches: 2, Peso Total:0.2kg, Volumen pale vacio: 0, Orientaciones:horizontal: 2, de lado: 0, Cajas por Palé:4
L:100, W:200, H:100, Volumen Total:2000000, Volumen Ocupado:2000000, Volumen Vacio:0, Estuches: 2, Peso Total:0.2kg, Volumen pale vacio: 0, Orientaciones:horizontal: 0, de lado: 2, Cajas por Palé:4
L:100, W:200, H:100, Volumen Total:2000000, Volumen Ocupado:2000000, Volumen Vacio:0, Estuches: 2, Peso Total:0.2kg, Volumen pale vacio: 0, Orientaciones:horizontal: 1, de lado: 1, Cajas por Palé:4
L:100, W:200, H:100, Volumen Total:2000000, Volumen Ocupado:2000000, Volumen Vacio:0, Estuches: 2, Peso Total:0.2kg, Volumen pale vacio: 0, Orientaciones:horizontal: 2, de lado: 0, Cajas por Palé:4
L:100, W:200, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 0, de lado: 4, Cajas por Palé:2
L:100, W:200, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 1, de lado: 3, Cajas por Palé:2
L:100, W:200, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 2, de lado: 2, Cajas por Palé:2
L:100, W:200, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 3, de lado: 1, Cajas por Palé:2
L:100, W:200, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 4, de lado: 0, Cajas por Palé:2
L:200, W:100, H:100, Volumen Total:2000000, Volumen Ocupado:2000000, Volumen Vacio:0, Estuches: 2, Peso Total:0.2kg, Volumen pale vacio: 0, Orientaciones:horizontal: 0, de lado: 2, Cajas por Palé:4
L:200, W:100, H:100, Volumen Total:2000000, Volumen Ocupado:2000000, Volumen Vacio:0, Estuches: 2, Peso Total:0.2kg, Volumen pale vacio: 0, Orientaciones:horizontal: 1, de lado: 1, Cajas por Palé:4
L:200, W:100, H:100, Volumen Total:2000000, Volumen Ocupado:2000000, Volumen Vacio:0, Estuches: 2, Peso Total:0.2kg, Volumen pale vacio: 0, Orientaciones:horizontal: 2, de lado: 0, Cajas por Palé:4
L:200, W:100, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 0, de lado: 4, Cajas por Palé:2
L:200, W:100, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 1, de lado: 3, Cajas por Palé:2
L:200, W:100, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 2, de lado: 2, Cajas por Palé:2
L:200, W:100, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 3, de lado: 1, Cajas por Palé:2
L:200, W:100, H:200, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 4, de lado: 0, Cajas por Palé:2
L:200, W:200, H:100, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 0, de lado: 4, Cajas por Palé:2
L:200, W:200, H:100, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 1, de lado: 3, Cajas por Palé:2
L:200, W:200, H:100, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 2, de lado: 2, Cajas por Palé:2
L:200, W:200, H:100, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 3, de lado: 1, Cajas por Palé:2
L:200, W:200, H:100, Volumen Total:4000000, Volumen Ocupado:4000000, Volumen Vacio:0, Estuches: 4, Peso Total:0.4kg, Volumen pale vacio: 0, Orientaciones:horizontal: 4, de lado: 0, Cajas por Palé:2
L:200, W:200, H:200, Volumen Total:8000000, Volumen Ocupado:8000000, Volumen Vacio:0, Estuches: 8, Peso Total:0.8kg, Volumen pale vacio: 0, Orientaciones:horizontal: 0, de lado: 8, Cajas por Palé:1
L:200, W:200, H:200, Volumen Total:8000000, Volumen Ocupado:8000000, Volumen Vacio:0, Estuches: 8, Peso Total:0.8kg, Volumen pale vacio: 0, Orientaciones:horizontal: 1, de lado: 7, Cajas por Palé:1
L:200, W:200, H:200, Volumen Total:8000000, Volumen Ocupado:8000000, Volumen Vacio:0, Estuches: 8, Peso Total:0.8kg, Volumen pale vacio: 0, Orientaciones:horizontal: 2, de lado: 6, Cajas por Palé:1
L:200, W:200, H:200, Volumen Total:8000000, Volumen Ocupado:8000000, Volumen Vacio:0, Estuches: 8, Peso Total:0.8kg, Volumen pale vacio: 0, Orientaciones:horizontal: 3, de lado: 5, Cajas por Palé:1
L:200, W:200, H:200, Volumen Total:8000000, Volumen Ocupado:8000000, Volumen Vacio:0, Estuches: 8, Peso Total:0.8kg, Volumen pale vacio: 0, Orientaciones:horizontal: 4, de lado: 4, Cajas por Palé:1
L:200, W:200, H:200, Volumen Total:8000000, Volumen Ocupado:8000000, Volumen Vacio:0, Estuches: 8, Peso Total:0.8kg, Volumen pale vacio: 0, Orientaciones:horizontal: 5, de lado: 3, Cajas por Palé:1
L:200, W:200, H:200, Volumen Total:8000000, Volumen Ocupado:8000000, Volumen Vacio:0, Estuches: 8, Peso Total:0.8kg, Volumen pale vacio: 0, Orientaciones:horizontal: 6, de lado: 2, Cajas por Palé:1
L:200, W:200, H:200, Volumen Total:8000000, Volumen Ocupado:8000000, Volumen Vacio:0, Estuches: 8, Peso Total:0.8kg, Volumen pale vacio: 0, Orientaciones:horizontal: 7, de lado: 1, Cajas por Palé:1
L:200, W:200, H:200, Volumen Total:8000000, Volumen Ocupado:8000000, Volumen Vacio:0, Estuches: 8, Peso Total:0.8kg, Volumen pale vacio: 0, Orientaciones:horizontal: 8, de lado: 0, Cajas por Palé:1
